GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS489081782	2022-11-12 17:17:29.962303	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			Sabattus Pond--north end	L1310350	H	44.1607224	-70.0904286	2017-04-20	10:15:00	obsr417338	S36190490	Traveling	P22	EBIRD	100	0.966		1	1		0	1	1		Birded Marr's Point Road from the intersection with Hwy 132 west to the little bridge near where the houses begin.	Vocalizing on and off for a period of about ten minutes; it was in a tree near the eastern edge of the pond.  Distinctly nasal call compared to AMCR.	
URN:CornellLabOfOrnithology:EBIRD:OBS787790258	2019-11-12 14:21:49	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				3					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14		44070A3CW	Lower Range Pond, Poland Spring	L952734	H	44.0419154	-70.3579795	2019-07-16	15:30:00	obsr134773	S58395608	Incidental	P20	EBIRD_ATL_ME				2	0		0	1	1			For the time we were there we heard and saw three fish crows repeatedly calling nasal nuthatch-like calls.  The Ring-billed Gulls and the Fish Crows were harassing each other along the edge of the beach with the Fish Crows staying mostly in the tops of the pines.	
URN:CornellLabOfOrnithology:EBIRD:OBS1100627475	2021-03-26 14:48:41.882936	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2	NC	C1	S 		United States	US	Maine	US-ME	Androscoggin	US-ME-001		14		44070A2NW	7 Riverside Dr, Auburn US-ME 44.08788, -70.22171	L14120191	P	44.0878780	-70.2217090	2021-03-22	08:21:00	obsr1120181	S83875913	Traveling	P22	EBIRD_ATL_ME	51	0.628		1	1		1	1	1			Recognized by distinct call: May have heard 1 bird two times (819am and then 9am-ish)	
URN:CornellLabOfOrnithology:EBIRD:OBS1350584980	2022-02-26 13:00:30.279365	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			Basilica of Saints Peter and Paul	L15921383	P	44.0983021	-70.2123674	2022-02-23	11:16:00	obsr1120181	S103570667	Stationary	P21	EBIRD_ME	15			1	1		1	1	1			Possibly three… But while the other two (possibly American?) are hanging out with the Fish Crow I did not catch them calling too, and so can not confirm either. Regarding the audio there is no calling from the crows between ~1:20-2:45. Fish Crow appeared to be very curious--looking down the chimney and then down a pipe coming out of the house. Also I initially heard him calling and then spotted him with the pigeons.	
URN:CornellLabOfOrnithology:EBIRD:OBS1398297410	2022-05-09 13:46:36.193273	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				4					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			Lincoln Terrace	L18601760	P	44.0893832	-70.2156470	2022-04-20	14:30:00	obsr1120181	S107560018	Stationary	P21	EBIRD	20			1	1		1	1	1			I am quite certain they were at least four individuals, and the recording that I took should reflect this. I recall seeing two pair, and saw three of them as they called. Three clips are ~six minutes over the course of 20 minute survey. I propped the recorder on the roof of my car and never moved it.	
URN:CornellLabOfOrnithology:EBIRD:OBS1384011858	2022-04-12 09:43:00.806817	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				2					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			67 Park St, Lewiston US-ME 44.09697, -70.21663	L18388149	P	44.0969680	-70.2166310	2022-04-05	18:36:00	obsr16623	S106361916	Incidental	P20	EBIRD				1	0		0	1	1			Classes nasal two note calls. In with group of calling American crows	
URN:CornellLabOfOrnithology:EBIRD:OBS1393171088	2022-04-18 16:45:40.268589	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			23 Horton St, Lewiston US-ME 44.09876, -70.21163	L18521902	P	44.0987630	-70.2116300	2022-04-15	17:19:00	obsr1170511	S107128592	Stationary	P21	EBIRD	4			1	1		1	1	1			Sitting on top of the Basilica calling single nasal call — heard out my car window while going by, so I stopped to get a recording. Best sound 0:17 to 0:25	
URN:CornellLabOfOrnithology:EBIRD:OBS1418977075	2022-05-08 14:04:53.358526	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			Sabattus Pond--west side	L1295202	H	44.1578105	-70.1111548	2022-05-07	13:30:00	obsr1170511	S109278627	Stationary	P21	EBIRD	195			1	1		0	1	1		Birds observed while working outside. Quite active for warblers! The yard is always extremely good for early spring warblers and mid-late fall warblers.----I don't quite understand why it is so good. During early spring it often beats out any Southern Maine hotspot (florida lake, hinckley, everygreen, etc.) for sheer numbers of YRWA and PAWA, although it's a fairly small area and the diversity isn't super impressive. It seems to be that birds are concentrated along woods edges right next to the lake, where there are tons of mayflys. The birds are present even on days with little migration, so it must just be a really good food source rather than any other concentration mechanism coming into play.	Probably not actually rare in Androscoggin County (at least within the city or near water) but just underreported. Two parted uh-uh call.	
URN:CornellLabOfOrnithology:EBIRD:OBS1437801303	2022-05-27 14:06:00.933667	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1	F 	C1	F 		United States	US	Maine	US-ME	Androscoggin	US-ME-001		14			Simard-Payne Memorial Park, Lewiston US-ME 44.09422, -70.22171	L16041771	P	44.0942210	-70.2217140	2022-05-21	12:09:00	obsr1120181	S110854192	Traveling	P22	EBIRD_ME	35	0.718		1	1		0	1	1			Evidenced by nasally call	
URN:CornellLabOfOrnithology:EBIRD:OBS1438795869	2022-07-06 11:24:05.047078	21068	species	avibase-43E56D2C	Fish Crow	Corvus ossifragus				1					United States	US	Maine	US-ME	Androscoggin	US-ME-001		14		44070A1SW	Paper Mill Trail & Androscoggin River Trail	L1563305	H	44.0120013	-70.0861643	2022-05-22	05:42:00	obsr759047	S110942654	Traveling	P22	EBIRD_ATL_ME	201	6.530		3	1	G8433360	0	1	1		Warm (16C), still, foggy to overcast.	Detected by call - distinctive high-pitched nasal call.	
